CaseId,CaseName,SchemeId,ScriptDllName,PARA_FILE_NAME,CATALOGUE
165,相序识别,1,SgHplcTestScript.dll::Script_LN_Inverse_V3,Script_LN_Inverse_V3,多功能测试
167,频段管理-频段切换,1,SgHplcTestScript.dll::Script_FreqManage_SetFreq1To2_V3,Script_FreqManage_SetFreq1To2_V3,多功能测试
168,频段管理-相同频段切换不执行,3,SgHplcTestScript.dll::Script_FreqManage_SetSameFreq,Script_FreqManage_SetSameFreq,多功能测试
169,频段管理-切频过程中不响应二次切频,3,SgHplcTestScript.dll::Script_FreqManage_SetFreqTwice,Script_FreqManage_SetFreqTwice,多功能测试
170,频段管理-路由复位,3,SgHplcTestScript.dll::Script_FreqManage_SetFreqReset,Script_FreqManage_SetFreqReset,多功能测试
172,频段管理-无档案切换,3,SgHplcTestScript.dll::Script_FreqManage_SetFreqNoPara_V3,Script_FreqManage_SetFreqNoPara_V3,多功能测试
173,多任务并行-重启暂停恢复,4,SgHplcTestScript.dll::Script_ReadMeter_14F1_13F1_F1F1_RestartPauseRecover,Script_ReadMeter_14F1_13F1_F1F1_RestartPauseRecover,多功能测试
174,多任务并行-13F1/14F1/F1F1,1,SgHplcTestScript.dll::Script_ReadMeter_14F1_13F1_F1F1,Script_ReadMeter_14F1_13F1_F1F1,多功能测试
175,多任务并行-广播校时,4,SgHplcTestScript.dll::Script_BroadcastTime_MultiTask,Script_BroadcastTime_MultiTask,多功能测试
176,多任务并行-组网中,1,SgHplcTestScript.dll::Script_BuildNetwork_MultiTask,Script_BuildNetwork_MultiTask,多功能测试
177,多任务并行-在线升级STA,1,SgHplcTestScript.dll::Script_Upgrade_STA_normal_2_MultiTask,Script_Upgrade_STA_normal_2_MultiTask,多功能测试
178,多任务并行-抄表+搜表+升级-未组网,1,SgHplcTestScript.dll::Script_ReadMeter_SearchMeter_Upgrade_MultiTask,Script_ReadMeter_SearchMeter_Upgrade_MultiTask,多功能测试
179,纯无线组网,1,SgHplcTestScript.dll::Script_BuildNetwork_GW,Script_BuildNetwork_GW_WireLess,多功能测试
182,抄表-终端并发抄表-无线,1,SgHplcTestScript.dll::Script_ReadMeter_F1F1,Script_ReadMeter_F1F1_WireLess,多功能测试
183,20规范-波特率协商-确认-CCO,2,SgHplcTestScript.dll::Script_20Standard_BaudConsult_Confirm_CCO,Script_20Standard_BaudConsult_Confirm_CCO,20规范
185,20规范-波特率协商-否认-CCO,2,SgHplcTestScript.dll::Script_20Standard_BaudConsult_Deny_CCO,Script_20Standard_BaudConsult_Deny_CCO,20规范
186,20规范-波特率协商-异常回复-CCO,2,SgHplcTestScript.dll::Script_20Standard_BaudConsult_Abnormal_CCO,Script_20Standard_BaudConsult_Abnormal_CCO,20规范
187,20规范-波特率协商-确认后发-CCO,2,SgHplcTestScript.dll::Script_20Standard_BaudConsult_ConfirmDelay_CCO,Script_20Standard_BaudConsult_ConfirmDelay_CCO,20规范
188,20规范-波特率协商-非搜表波特率不协商-CCO,2,SgHplcTestScript.dll::Script_20Standard_BaudConsult_NotSearchMeterRate_CCO,Script_20Standard_BaudConsult_NotSearchMeterRate_CCO,20规范
189,20规范-波特率协商-恢复默认波特率-CCO,2,SgHplcTestScript.dll::Script_20Standard_BaudConsult_DefaultRate_CCO,Script_20Standard_BaudConsult_DefaultRate_CCO,20规范
190,20规范-事件主动上报-已入网,2,SgHplcTestScript.dll::Script_20Standard_EventReport_InNet,Script_20Standard_EventReport_InNet,20规范
191,20规范-事件主动上报-未入网,2,SgHplcTestScript.dll::Script_20Standard_EventReport_NotInNet,Script_20Standard_EventReport_NotInNet,20规范
